property_type,n_rooms,dist_centre_km,outdoor_space,near_underground,intercept,beta_house,beta_room,beta_dist,beta_garden,beta_terrace,beta_balcony,beta_under,premium,monthly_rent_gbp,listing_type
Flat,3,3.4282688510986774,Balcony,0,7.509427419977858,0.2071774059233345,0.16912151179049267,-0.07932665734395652,0.14869569150558412,0.09807435468674508,0.06254617267663917,0.08548342497837036,0.0,1887.2094887266999,Owner
Flat,2,1.6817431412409147,Garden,1,7.472759277734363,0.2622224800924992,0.32136977100222597,-0.04702003083712323,0.10406677492332833,0.10275257453345119,-0.0032803526214520637,0.0903895807541704,0.0,4505.037848791724,Owner
Flat,1,6.63274216899862,Terrace,1,7.457630888959941,0.1724184622524073,0.21034825271533109,-0.02745838629884633,0.16542764268053503,0.10756721189280033,0.08191822962682568,0.1127249783920575,0.0,2273.174995685255,Owner
Flat,5,0.12118819004625181,Balcony,1,7.543969463067647,0.12409137431761012,0.1600696538772878,-0.10008215843364116,0.1671617232514243,0.09651312870634127,0.057577065379898706,0.115685064641065,0.0,5041.288992075203,Owner
Flat,3,4.395309661438342,Garden,1,7.493226710985404,0.1914198733435967,0.14485841285920015,-0.03369919422860195,0.14813426949002068,0.10644139549511579,0.0915359614278172,0.08278899988184263,0.0,3517.8053236191886,Owner
Flat,6,14.191441185867115,Terrace,0,7.502025846140637,0.23302878904995714,0.15953824845659725,-0.0698787127683754,0.18373060079611508,0.14734354172686553,0.06332594981872015,0.09926936223217052,0.0,1807.2227695901674,Owner
Flat,6,0.9582805450842118,Garden,0,7.457257554413596,0.2587504236266178,0.17541016362549441,-0.03288203994220522,0.13997768307060177,0.12956349056845656,0.08303968873207287,0.1642681107583559,0.0,5593.167528309805,Owner
Flat,2,3.1899768612348387,Nothing,1,7.483668518264245,0.1631135121664275,0.10676764652225651,-0.07289777469627551,0.166938177776808,0.1260746377749069,0.06399635934350381,0.15182629510302134,0.0,1796.26480428699,Owner
House,2,0.47937265009403307,Nothing,1,7.503327677691296,0.21490097669709565,0.1440395117404491,-0.10414646301993558,0.11941006983923652,0.08633381421928388,0.09038677268608244,0.11308971009022097,0.0,4094.7223365827526,Owner
Flat,3,4.913246705322382,Nothing,1,7.465470192677331,0.18604068629659842,0.18414597993834253,-0.09882627313649489,0.14929343547377286,0.07332277515315028,0.06566751908053337,0.10114010434504601,0.0,1577.1873544236892,Owner
Flat,6,3.998449535949602,Garden,0,7.511270940550371,0.19682154937087595,0.14206798015526245,-0.04855745160015854,0.14476937226291492,0.1286590167471326,0.04706254260671288,0.10360093980154784,0.0,4213.076316706476,Owner
Flat,3,2.615887341856334,Nothing,0,7.481980839302436,0.27933030041051105,0.15465559546950297,-0.042208324948355545,0.15675923766122823,0.12628140377589384,0.11817304161340646,0.1184055391819125,0.0,2353.0225822521334,Owner
Flat,3,3.684210463478995,Nothing,1,7.4912491875062015,0.1549108901481454,0.1557907530591538,-0.07712949875313226,0.13891419213499923,0.14418012027252947,0.07667111366839677,0.06931622304404784,0.0,1440.9370786856964,Owner
Flat,4,11.344526322154412,Nothing,1,7.481948801633118,0.2076121898448372,0.12008737942415607,-0.030842226236678785,0.14605582212984997,0.08188058122092312,0.0672123326301324,0.09227870387729965,0.0,2225.5838281594706,Owner
Flat,3,1.0926106223277317,Garden,1,7.555568345535268,0.214030795152963,0.14033058879886443,-0.09984560186806879,0.1747814151432452,0.09311354033918959,0.011710867503849927,0.04994247778367233,0.0,3151.693186382569,Owner
Flat,7,0.11411492965000414,Nothing,0,7.499595083257862,0.23257358974818043,0.1379418758605217,-0.0519823939594195,0.13689707288285347,0.05081547512423698,0.011350771476093875,0.11197669367815838,0.0,4815.040085495371,Owner
House,3,9.890380829046354,Nothing,0,7.468268672131323,0.20293949460412689,0.061530770277173616,-0.0863304859928737,0.10180268697783962,0.08822586681817382,0.058781464464255605,0.11941587819108224,0.0,1299.6290792970647,Owner
House,3,4.303299643822846,Terrace,0,7.524676347363096,0.20924151618512307,0.059142124252360845,-0.06955508323406479,0.20248751712616261,0.12989711531738343,0.054365635933047225,0.08550440613101878,0.0,2108.508252355613,Owner
House,3,11.066394298015023,Nothing,1,7.46337469050087,0.18825054297734628,0.1826652729473758,-0.048578039860507585,0.1914436223607146,0.08600513862315406,0.03157632304975051,0.14721960289870098,0.0,2238.5703840613946,Owner
Flat,6,4.543414021101691,Terrace,0,7.506265907850143,0.20807380823735322,0.13185369120960327,-0.07581240095851857,0.11123211914683143,0.11921439385602473,0.054229480988361806,0.06322703010992978,0.0,3252.326479330312,Owner
Flat,5,8.30789704168021,Terrace,0,7.441209896283607,0.1897042317350777,0.15110482239475725,-0.061536666326894765,0.17069123415735582,0.09428490682006567,0.09765880784130787,0.0560687535937054,0.0,2326.795813523107,Owner
Flat,9,2.807730177683868,Garden,1,7.4601544185330475,0.21864715669568152,0.13454751718304647,-0.019811215723566786,0.13491075688345971,0.10972171084664682,0.07086207423650896,0.10673355455679917,0.0,6983.281746041774,Owner
Flat,4,6.928671215841588,Nothing,0,7.505905837076074,0.188911689918691,0.2139494656679573,-0.06730675608569446,0.15790461645993178,0.06556925830552998,0.015769744707417856,0.13141294907836465,0.0,3462.526160454617,Owner
Flat,3,12.2116195243503,Garden,1,7.522153997399863,0.2113130118170656,0.13030095283472376,-0.02492923663804575,0.1588267238704048,0.10255628348901703,0.04665473518571169,0.15051783074373606,0.0,2660.2318036637716,Owner
Flat,4,4.244597115474032,Terrace,0,7.505141048435699,0.19912211558945067,0.14545136045090062,-0.08389120563972854,0.14296776599051034,0.010265920872978312,0.02585100557442318,0.0862334721139318,0.0,2250.8321489558903,Owner
Flat,2,0.9970444905313678,Garden,1,7.496530551528353,0.23378150752316507,0.1910489775766694,-0.034105874662541516,0.1264870300324081,0.09439311525514046,0.038369002507743166,0.13236042500293888,0.0,3701.142597037834,Owner
House,5,1.5653249856366385,Terrace,0,7.490966889132321,0.19845818829234543,0.18454778071266548,-0.006752941380262993,0.1292837684305122,0.0510858026885458,0.03759153003111072,0.09884474591497878,0.0,7827.209177546511,Owner
Flat,4,1.1072535305364735,Garden,1,7.455644340288977,0.14680902595379358,0.12035051051791036,-0.12414933500381868,0.12251424253556273,0.1361798354964045,0.035670632521879846,0.09482118100177542,0.0,3279.039527359205,Owner
Flat,6,1.4175009940727592,Nothing,1,7.478404673748159,0.23785764502141976,0.17788786190066547,-0.07390685766411431,0.12504533375308666,0.12332222058293535,0.012345938840798161,0.12650979812460017,0.0,5223.957254060149,Owner
Flat,3,1.8294106395736867,Nothing,0,7.486180836871206,0.17282803097412144,0.14738007156325292,-0.032687836184583804,0.14798465129851934,0.11400012945898244,0.046170359554454296,0.11956968635240259,0.0,2693.812456275246,Owner
Flat,1,4.049908432038345,Garden,0,7.531713666786567,0.1803870098405354,0.14896032318375996,-0.056091361581289786,0.12852720032667744,0.1456301868147814,0.0331817708945807,0.05270823529047253,0.0,2229.4138248288205,Owner
Flat,3,4.433558065018187,Garden,0,7.510308548687054,0.18213016117869524,0.11038030046423569,-0.038865623798860736,0.1704615619713786,0.0715325043752549,-0.03788346070006804,0.14429621049177688,0.0,2640.3867802071222,Owner
Flat,4,2.7799845084185435,Garden,0,7.447108795339118,0.24123314279512453,0.09524727996059379,-0.06811955560147462,0.1946173846600778,0.15242089593746674,0.11158916073504989,0.14140274062442354,0.0,2315.372706556848,Owner
House,5,4.778027384912371,Nothing,1,7.509722519081844,0.13592977358063915,0.1682574876267448,-0.047402306375813004,0.1325984027588987,0.12796574692781154,0.08266308962650017,0.08123311895471412,0.0,4308.0521697668155,Owner
House,2,0.4254747576855111,Terrace,0,7.488447531587511,0.2941324560097998,0.1497869141703468,-0.05467031706176239,0.15718213501606132,0.09290334138343162,0.038710978252250124,0.11187410600312228,0.0,3916.33204584348,Owner
House,1,0.4594155982650752,Terrace,0,7.479692339990821,0.23168170427198156,0.14594950190063236,-0.014966538150205787,0.16499055330908802,0.13406860441548832,0.050564571492217956,0.11482090558848217,0.0,3038.309293433243,Owner
House,5,0.9426809002664526,Garden,0,7.518350288665226,0.2066971674238748,0.16843099262265276,-0.042367374700963606,0.16416006812757822,0.06681119462765098,0.01485036958047315,0.10782021297471722,0.0,5508.298794478743,Owner
Flat,4,3.649859810873943,Nothing,1,7.530929985674878,0.19835317998151142,0.17271622555222318,-0.03987192013774394,0.1522786580374826,0.0752645751541698,0.10087168633432596,0.0834908453846374,0.0,3659.116729425325,Owner
House,4,1.203958582359604,Nothing,1,7.5279384035734855,0.20856662224572972,0.1156115512535098,-0.06235630898367402,0.17228047255079165,0.08174230830280899,0.10691866084319335,0.07985129896185846,0.0,3249.1971540151208,Owner
Flat,2,1.6653808733135569,Nothing,0,7.474823474303321,0.21563367285138016,0.15747116497070704,-0.06462818672217481,0.16446746858041972,0.08413066875807955,0.05470081184739574,0.09923337787025664,0.0,2134.6652476241543,Owner
Flat,4,2.5567357668028374,Nothing,0,7.490723628724464,0.21935646757850172,0.11079858234246992,-0.06297674563458863,0.11287012733018106,0.06830327071719242,0.08070591932556034,0.13518187057778094,0.0,2304.411843740943,Owner
Flat,5,8.353007316259138,Garden,0,7.509937902942107,0.21666813398010346,0.1709598812180221,-0.038166435728651096,0.1760746819316782,0.13669249201285977,0.05525860336801772,0.11630800463783297,0.0,3583.334562450841,Owner
Flat,5,0.06979556282118814,Garden,0,7.529266353813671,0.20268742043765747,0.16130240760167996,-0.06262953442460789,0.17661872511800225,0.09223436798890505,0.009898236833722082,0.08888157003741683,0.0,5513.957401724913,Owner
Flat,2,5.240244491350255,Garden,0,7.485624772864641,0.19407984739078024,0.22333456816201142,-0.041306754293107616,0.12710141687464255,0.1105751490507064,0.03764529893109028,0.12315096131945034,0.0,2488.6121834454125,Owner
Flat,6,5.526319775775111,Garden,0,7.494430230700085,0.19546180149039466,0.09056669287159252,0.012262023959363162,0.15113813506342805,0.0828894590075896,0.05395783900315872,0.014543721381097746,0.0,3609.4979165075943,Owner
House,7,8.013696500504556,Garden,0,7.466809950779819,0.19415275158941958,0.08488208187255394,-0.023866258897049235,0.17049986978433207,0.04538190098354449,0.036363568437696676,0.1344629710111631,0.0,3622.880963624763,Owner
Flat,1,13.496909824771476,Garden,0,7.46411380127758,0.23401310290601196,0.13283886414029847,-0.059780705965035236,0.14372058541261915,0.10810172075174267,0.043440401676948924,0.04780858663665702,0.0,1075.3907963313075,Owner
Flat,5,0.10171689702263215,Balcony,0,7.524375774671826,0.21780670166842586,0.13057837288185276,-0.013963582335081659,0.18218934143298035,0.042632350737406705,0.04725801327472657,0.08912677175790604,0.0,3791.5943329236475,Owner
Flat,3,0.8349014240557615,Nothing,0,7.540687200857125,0.1117883409600716,0.12884083202415783,-0.06224226119064655,0.2209161748385808,0.09794097861743595,0.04757364506403616,0.0664099031612157,0.0,2817.7148397574074,Owner
Flat,3,10.865302700153755,Nothing,0,7.49783969635259,0.21967702329589284,0.20022075880969092,-0.11114373605533562,0.12642041902095053,0.058950548835015694,0.0515677547149245,0.06115955572837283,0.0,919.5490135211844,Owner
House,4,3.0672324616451734,Nothing,1,7.530105986936761,0.20584208584156324,0.12915107908095244,-0.08024258932752212,0.10856866190538675,0.15961827997692424,0.018181848008101978,0.13482480362135557,0.0,3282.2327440432064,Owner
Flat,2,4.157343152448335,Nothing,1,7.510849080751429,0.1994387373066231,0.13173027361143347,-0.10612375763077567,0.15911455786814627,0.12734088166524166,0.028489515526161916,0.08596896396064327,0.0,1781.5608358276604,Owner
House,1,5.4387653755107825,Garden,0,7.480646407361847,0.18834444640733344,0.17194395219111647,-0.060545404521239264,0.1716468751537843,0.10317261373814442,0.011462472029000928,0.11039511645192147,0.0,2051.8481729982273,Owner
House,4,5.6826083401094865,Nothing,0,7.510841868165253,0.23372338159958042,0.1468218356782236,-0.04944744862431345,0.14307400878465693,0.13791120032964005,0.07933446649058601,0.09859238263362448,0.0,3238.3452639587576,Owner
Flat,4,13.422186220273499,Garden,1,7.5461410969939795,0.22842579386368575,0.17418417653095541,0.00029311936825847373,0.193597819899631,0.07461052067602793,-0.013169408255209736,0.11431122481669365,0.0,4817.576165641233,Owner
Flat,2,28.96211347018033,Nothing,1,7.4989252188267015,0.17681366996529174,0.08896189673020466,-0.04019217878707512,0.10984182600830253,0.1163043813601028,0.08460771029950775,0.10230465673180766,0.0,595.5237090123458,Owner
House,3,6.36764097232243,Balcony,0,7.54693930967442,0.21221156861373605,0.14924484658972598,-0.05657301586426593,0.17078755869094833,0.10599431301156141,0.0915904819178853,0.06151023327434292,0.0,3059.251170143095,Owner
Flat,5,1.6929207902268364,Nothing,0,7.421407646877308,0.17085029796376144,0.06900967962031078,-0.02511783256449533,0.1318241753772332,0.1079206024400101,0.04093458239052136,0.1298880045834142,0.0,1641.7439572474768,Owner
Flat,3,10.59101173847779,Garden,0,7.524657075131257,0.1586114550563321,0.08769020142540512,-0.11633405927023656,0.2015813371862189,0.13817060500320305,-0.028094112634818952,0.08518730250516063,0.0,751.939218553758,Owner
House,2,0.2523677026024477,Garden,0,7.502611412047145,0.18119848326230106,0.20027933812756613,-0.04293156325674302,0.20977546059504354,0.12197476308339407,0.039160683140981284,0.05330254304020748,0.0,4011.9956396383013,Owner
Flat,1,1.313847276415242,Nothing,0,7.491029779486024,0.22587180417148278,0.11164888614922022,-0.026874044183391,0.12700030236649956,0.1086617098847507,0.04807447516133542,0.08715654517102263,0.0,2227.270516101289,Owner
Flat,2,11.383890749635237,Garden,0,7.502752823296065,0.2285937513612826,0.15201117301506795,-0.09435758737339525,0.13351328592274259,0.05035337691315112,0.019682053402132603,0.14502279371902932,0.0,1167.400096305659,Owner
Flat,4,1.4798584458301167,Nothing,0,7.440372932561973,0.2153925626029188,0.14412653096276018,-0.01568737870379213,0.17578763660939406,0.0711986111416161,0.03454344818575272,0.1255066522634048,0.0,2994.2485660085563,Owner
House,2,1.246481998352206,Nothing,0,7.493409843364875,0.22175287360543994,0.13907116815684248,-0.03984510777516758,0.13838608050631457,0.09631873199212829,0.09590585596590054,0.08954043596776423,0.0,2913.167762077154,Owner
Flat,3,0.7432268527692112,Nothing,0,7.510713377145352,0.21548534861344876,0.19823318269346646,-0.06245863741702404,0.14863766346203286,0.10280117122829954,0.06994781486905223,0.08952226887044715,0.0,3310.5014132975366,Owner
Flat,2,9.798941551541256,Nothing,0,7.544336821342245,0.18075555214331146,0.05605123627312711,-0.03101654401681146,0.1507616526162723,0.0660938882597823,0.022263076568657007,0.09035094846347852,0.0,1624.2960505597343,Owner
Flat,6,3.466318528654564,Nothing,0,7.484451893451791,0.21295767634021823,0.16190613600818232,0.018120785734131867,0.09240980531407031,0.17235030026735265,0.002072024912137038,0.1623024395068252,0.0,4607.61565409736,Owner
Flat,2,5.618007723221529,Garden,0,7.475745191913204,0.22401228575683046,0.2284322339672527,-0.04454401234824515,0.14958486761717288,0.14549182165760718,0.04018948047170687,0.11145806356694661,0.0,2826.128425448571,Owner
Flat,6,1.3660457880636798,Nothing,0,7.484947288692464,0.22262873989440723,0.1538464703916272,-0.04255338241098992,0.12930816677807477,0.11806354961177451,0.04359629661948686,0.1129012494157321,0.0,4299.828325212829,Owner
Flat,2,7.094922978741559,Nothing,1,7.527462063531062,0.23566740114423929,0.2120597781707752,-0.06378082698620732,0.13520631532800684,0.10216110583851234,0.0648859756208995,0.13090850362095527,0.0,2061.420413556761,Owner
Flat,1,7.135697299578956,Nothing,0,7.50986253328979,0.22124911541603193,0.08224747742358313,-0.07549533108394375,0.19330896010406443,0.09363373090296545,0.03394049862297023,0.10716367477079541,0.0,1313.8697937126967,Owner
House,2,1.8741802064597282,Garden,1,7.484107193886989,0.2105434462262475,0.14468308283705894,-0.025089925503672637,0.11230479317162231,0.07144244619933293,0.06534498726085584,0.09222873562537891,0.0,3316.6521589055446,Owner
Flat,4,2.6439520851583853,Nothing,1,7.5153980229934,0.23210450714949282,0.13040040710480033,-0.07568251477726602,0.17439615560243932,0.10232441555556589,0.10805462120180687,0.09410950452745066,0.0,2752.994370773277,Owner
Flat,4,1.1766517823414586,Nothing,0,7.502912326480441,0.19920436222252821,0.16857694147539584,-0.04785301288341823,0.14163111209004575,0.10773257620428253,0.07446503067332788,0.09785196221757808,0.0,3120.000064227104,Owner
Flat,6,18.766774861734074,Nothing,0,7.529059349715987,0.17354376046316847,0.2485778699484521,-0.06432972340295351,0.14160719494512497,0.06274718273555127,0.048557344780076825,0.09888333290470476,0.0,2137.6618565831654,Owner
House,3,5.186681659435815,Terrace,0,7.478938407183679,0.19510799108168708,0.12997913285497925,-0.03563060522760825,0.17371115688155134,0.11002529251734693,0.04450548586840116,0.1218288863091094,0.0,3674.247421181932,Owner
Flat,1,13.631876477177027,Garden,1,7.490170135602067,0.17765292065580654,0.16106022237810258,-0.039990136841391556,0.1602015388370667,0.09534222853525755,0.03929980597460386,0.10155837657421898,0.0,1466.433556745371,Owner
House,4,1.8076158425404136,Balcony,1,7.488236755406035,0.17974465175076856,0.12222455716461722,-0.01887380167226303,0.16711838991658592,0.04276577326367828,0.08541922737356433,0.12197920231646739,0.0,3961.709038168861,Owner
Flat,4,7.613799711270445,Nothing,1,7.456094551556037,0.1956644398785345,0.1542006468476404,-0.06530049196564242,0.17904553981598584,0.07418844967661495,0.031180596621460915,0.09757850259674254,0.0,1981.8146865431136,Owner
Flat,2,7.25915130024136,Nothing,0,7.508883608311938,0.17622740237000117,0.14775392821171915,-0.05809624805880114,0.14006074850450032,0.08759183399735068,0.05135668126999948,0.10235905570948273,0.0,1671.7677762946698,Owner
Flat,5,5.882690535499076,Terrace,0,7.507831658165396,0.1907611541108288,0.23647781851044503,-0.07936291147346922,0.1316328979647675,0.15663062972020572,0.051535937056432564,0.04005397946403678,0.0,3980.236143138436,Owner
Flat,5,16.854161794382893,Garden,0,7.500153403699274,0.14319155999138644,0.15734076742433364,-0.06332879780228334,0.11744548420326606,0.11669659373601275,0.03494647421565404,0.12748983024107444,0.0,1928.025709437649,Owner
Flat,4,2.500708965940357,Terrace,0,7.492962385998745,0.20639881122118817,0.13925741085280613,-0.038680985208654435,0.12523768410063135,0.05993555292700327,0.008826033563476977,0.11039465427693979,0.0,3023.5119622244515,Owner
Flat,3,0.7004345865100579,Terrace,0,7.457538877738488,0.20003616426086673,0.10567290646505093,-0.027290341500639446,0.23847283275926173,0.11458108868252911,0.059689235108530046,0.12994030329578957,0.0,2724.5802891156427,Owner
Flat,3,5.5692722002376644,Nothing,0,7.487380640317039,0.1754873410679543,0.11412915093681578,-0.07766495972532876,0.1873403874221036,0.05358088033184904,0.04816988084433849,0.013112338654189329,0.0,1521.2376901027624,Owner
Flat,4,6.533901436091264,Nothing,1,7.489718564504197,0.21977737005297215,0.12608699670685497,-0.0239118223968302,0.10946776901375935,0.1324807316166122,0.06500721408309709,0.16265124114342183,0.0,2774.498083226584,Owner
Flat,4,4.279043230004657,Balcony,0,7.475931681923352,0.22812710412879678,0.12932136025627092,-0.009330864235851478,0.11032626129769289,0.08586626044546365,0.033991990806824995,0.09581231115534479,0.0,2472.8282837399593,Owner
House,3,1.1585122037602504,Terrace,0,7.49516142865002,0.1517732040689308,0.18624264941109492,-0.037596952903288974,0.16445598185155474,0.09719091433782488,0.08662463896439143,0.1332454845021255,0.0,3399.7892689963323,Owner
Flat,4,3.51049506125729,Garden,0,7.512121525704436,0.1771182566430136,0.15391848913670547,0.006303874376741972,0.16641794392133902,0.1397738994262657,0.02369678656364466,0.06880282218623408,0.0,4280.541653781689,Owner
Flat,3,1.8712112949002624,Nothing,1,7.556585577036316,0.17692572950638108,0.15143734392676494,-0.07321367597310718,0.16646651505952093,0.061385092942472505,0.10136120852053677,0.1183832171518771,0.0,3164.9652967305697,Owner
House,4,2.7884203958921567,Balcony,1,7.505237334384955,0.17180290696673406,0.105849365931906,-0.0873396410993425,0.14235132619338906,0.05808645444661027,-0.0024290952948478398,0.06839753310479033,0.0,2354.8427070813214,Owner
Flat,3,5.181266928682797,Terrace,0,7.507726511721683,0.22488424525795248,0.18821891950785424,-0.10336160746712836,0.14623637219991298,0.08249202020961986,0.06304310193670673,0.08128693117912586,0.0,1496.6768374488277,Owner
Flat,4,6.8366710840610665,Balcony,0,7.497766622527015,0.19418521583681592,0.16769761293941746,-0.005118670655324516,0.1598363857247807,0.1311513655305795,0.06426292047579871,0.1574209406160036,0.0,3504.2417496059234,Owner
Flat,3,1.3212907745905906,Nothing,0,7.442436863541029,0.19206455476068168,0.09000031933041165,-0.03036903030937827,0.1525767901887999,0.05441961773569474,0.026133287961773534,0.09427952797709961,0.0,2414.1065216189622,Owner
Flat,1,2.59870423808171,Nothing,1,7.499204583736524,0.1398841290677974,0.16611869160127526,-0.05166754012731366,0.08342098881757394,0.015035332056682948,0.06273181813583038,0.10652298619539169,0.0,1787.2139579773986,Owner
House,7,1.5678143550541637,Nothing,0,7.50180690629823,0.2190625409062768,0.15273309360172316,-0.0416009412104054,0.14310601108274418,0.08646523424773005,0.08838556009280477,0.12610203192066263,0.0,6157.3689116596925,Owner
House,2,1.107172649255106,Garden,0,7.573897263374558,0.16282224815439583,0.09566268254373861,-0.0837646714189513,0.12445780697219058,0.11655222399732762,-0.016504565180621933,0.11487045663917814,0.0,2523.942914094674,Owner
Flat,2,7.648219716832733,Balcony,0,7.494229171056566,0.20179797890798987,0.14738751878677792,0.023372559388504785,0.15525634256725535,0.13600785249216488,0.06508234422472445,0.1045125671543073,0.0,2703.7927507109325,Owner
House,3,11.998382485218567,Garden,0,7.509046420270009,0.20832130813874578,0.1490674315277881,-0.04612336454074318,0.2395577700781023,0.08610515913743803,-0.024798124609902314,0.11094883007398677,0.0,3696.8053897274826,Owner
House,2,2.3120203811650066,Nothing,1,7.498958646908843,0.24081975787515952,0.1168806172490518,-0.046718156161853215,0.16102444996422913,0.08765720178651994,0.021030055894303762,0.17210246755714825,0.0,3515.052183960453,Owner
Flat,4,6.95711594296932,Garden,0,7.464939658871414,0.16073538802642665,0.21660149240518653,-0.028227001283039246,0.14059410941482806,0.13461702202767242,0.09887499094702835,0.09827143608899244,0.0,3649.057551486167,Owner
House,4,11.364902787360888,Terrace,0,7.534284684435451,0.10941463532537525,0.18611425883024219,-0.035569723047898606,0.17765404505931756,0.04390774900913739,0.03254653899823838,0.10603297140144903,0.0,3858.6963801844886,Owner
Flat,6,9.35804781949586,Nothing,0,7.522557990980603,0.20551548634261085,0.16237671629100817,-0.04328347927162606,0.16448063661627638,0.08834437674450973,0.014783601067730828,0.13151963188022836,0.0,3425.5193247081643,Owner
House,3,1.0094389980158063,Nothing,0,7.523730958411291,0.2540153354453256,0.14764788991611458,-0.07371423366335936,0.16260283471355524,0.10571271669775174,0.04406186813045955,0.13316577798873952,0.0,3207.0699740923014,Owner
House,3,15.651107082044257,Terrace,1,7.472718376356158,0.23716839058818312,0.14417538045358083,-0.03585594928592013,0.16820551779647014,0.11347656163855104,0.11203719014490657,0.1356109091668114,0.0,2695.28509514443,Owner
Flat,3,2.363447688789533,Terrace,0,7.542083829328083,0.20628978245823879,0.1607838046126234,0.006460734894251002,0.21169630694488623,0.08470579920427353,-0.004950467416180777,0.11916190666087555,0.0,3026.699469706113,Owner
Flat,4,2.071827959610007,Garden,1,7.4579444681162315,0.18525091443103858,0.1528578088123154,-0.009637398615350672,0.11607334694022253,0.10103323035117524,0.01846070265081967,0.0657098526180855,0.0,3934.1104389318643,Owner
Flat,8,0.3223263645829332,Nothing,1,7.517605712814008,0.22421367789911933,0.08750764640634834,-0.002204401200818093,0.16420896230434362,0.02535017939761032,0.09492295049538879,0.14900294596903288,0.0,3998.285836066517,Owner
Flat,1,3.329349595318489,Nothing,0,7.5657136687743,0.17079361400886595,0.1507596972412227,-0.06533647029293556,0.12220856610055385,0.08025254762998456,0.10573107030613198,0.06560963820943937,0.0,1635.2212090883818,Owner
